"このイベント(ECCTF)の企画・運営を行っているサークルは？","択一クイズ","TEST","TEST"

"ECCコンピュータ専門学校は何号館まである？","択一クイズ","学校/全体","共通"
"1号館は何階まである？","択一クイズ","学校/全体","共通"
"2号館は何階まである？","択一クイズ","学校/全体","共通"
"3号館は何階まである？","択一クイズ","学校/全体","共通"
"1号館の休憩室は何階？","択一クイズ","学校/全体","共通"
"2号館の休憩室は何階？","択一クイズ","学校/全体","共通"
"学校の配布サーバは？","択一クイズ","学校/全体","共通"
"プログラミング言語では無いものはどれでしょう？","択一クイズ","学校/全体","共通"
"プログラミング言語では無いものはどれでしょう？？","択一クイズ","学校/全体","共通"
"ECCコンピュータ専門学校の電話番号は？","択一クイズ","学校/全体","共通"
"ECCコンピュータ専門学校の公式ホームページのURLは？","択一クイズ","学校/全体","共通"
"ECCコンピュータ専門学校には図書室があります。<br />何号館何階にあるでしょう？","択一クイズ","学校/全体","共通"
"ECCコンピュータ専門学校の姉妹校は？","択一クイズ","学校/全体","共通"
"ECCコンピュータ専門学校の姉妹校は？？","択一クイズ","学校/全体","共通"
"ECCコンピュータ専門学校3号館裏のコンビニは？","択一クイズ","学校/全体","共通"

"IT用語のIoTは何の略？","択一クイズ","勉学/PC基礎","共通"
"IT用語のAIとは何？","択一クイズ","勉学/PC基礎","共通"
"IT用語のVRとは何？","択一クイズ","勉学/PC基礎","共通"
"IT用語のARとは何？","択一クイズ","勉学/PC基礎","共通"
"windowsPCで文字の複写するショートカットキーは？","択一クイズ","勉学/PC基礎","共通"
"MacPCで文字を複数するショートカットキーは？","択一クイズ","勉学/PC基礎","共通"
"キーボードの「esc」は何の略でしょう？","択一クイズ","学校/全体","共通"
"「HDD」は何の略？","択一クイズ","学校/全体","共通"
"「SSD」は何の略？","択一クイズ","学校/全体","共通"
"入力装置はどれ？","択一クイズ","学校/全体","共通"
"出力装置はどれ？","択一クイズ","学校/全体","共通"
"「OS」は何の略？","択一クイズ","学校/全体","共通"

"バックアップとはデータを移動する事である","二択クイズ","勉学/PC基礎","共通"
"「ハッカー」と「クラッカー」は同義語である","二択クイズ","勉学/PC基礎","共通"
"Wi-Fiは無線LANである","二択クイズ","勉学/PC基礎","共通"

"サーバにバックドアを作り、サーバ内で侵入の痕跡を隠蔽するなどの機能をもつ不正なプログラムのパッケージはどれか。","択一クイズ","勉学/国家試験","PG共通"
"画像などのディジタルコンテンツが不正にコピーされて転売されたものであるか判別できる対策はどれか。","択一クイズ","勉学/国家試験","PG共通"
"電子メールの送信時に、送信者を送信側のメールサーバで認証するためのものはどれか。","択一クイズ","勉学/国家試験","PG共通"

"ヒープソートの説明として、適切なものはどれか。","択一クイズ","勉学/国家試験","PG上級"
"あるＢ木は、各節点に４個のキーを格納し、５本の枝を出す。このＢ木の根（深さのレベル０）から深さのレベル２までの節点に格納できるキーの個数は、最大で幾つか。","択一クイズ","勉学/国家試験","PG上級"
"キーが小文字のアルファベット１文字（a, b, …, zのいずれか）であるデータを、大きさが１０のハッシュ表に格納する。ハッシュ関数として、アルファベットのＡＳＣＩＩコードを１０進数表記で表したときの１の位の数を用いることにする。衝突が起こるキーの組み合わせはどれか。ＡＳＣＩＩコードでは、昇順に連続した２進数が、アルファベット順にコードとして割り当てられている。","択一クイズ","勉学/国家試験","PG上級"

"「-rw-r--r-」これは権限を表していますchmodコマンドの数字で言う何番でしょうか？","択一クイズ","勉学/授業","PG下級"
「-rw-r--r-」これは権限を表していますchmodコマンドの数字で言う何番？,一問一答,勉学/授業,PG上級
